PLACEMENT,SLURRY.LABEL,PLATE,ROW,COLUMN,ORIGINAL.SLURRY.VOLUME,AMOUNT.OF.SAMPLE.USED..μL.,GOOD.SAMPLE,Tube.Name.,Sample.ID.,Volume.μL..,All.Events,sym_FSC.Events,sym_SSC.Events,include.Events,All.Events..Mean.Chla.A,sym_FSC.Mean.Chla.A,sym_SSC.Mean.Chla.A,include.Mean.Chla.A,All.Events..Events.μL.V.,sym_FSC.Events.μL.V.,sym_SSC.Events.μL.V.,include.Events.μL.V.
T0_PA11,PA11,3,A,1,25,28,TRUE,03-Well-A1,NA,150,2300,157,143,1767,1360050.5,6067153.5,5963865.5,1326607.6,15.33,1.05,0.95,14.71
T0_PA13,PA13,3,A,2,25,28,TRUE,03-Well-A2,NA,150.1,2735,145,146,2101,849739.0,5716855.0,5266301.0,777985.8,18.22,0.97,0.97,17.48
T0_PA18,PA18,3,A,3,25,28,TRUE,03-Well-A3,NA,150.1,6676,640,607,4944,1760565.4,6871944.5,6801309.0,1647128.0,44.48,4.26,4.04,41.14
T0_PA19,PA19,3,A,4,25,28,TRUE,03-Well-A4,NA,150.1,3946,200,193,3031,817790.1,5916568.5,5770566.0,788162.1,26.29,1.33,1.29,25.22
T0_PA21,PA21,3,A,5,25,28,TRUE,03-Well-A5,NA,150,5096,141,146,3975,912369.8,8188407.5,7903020.5,875651.1,33.96,0.94,0.97,33.08
T0_PA22,PA22,3,A,6,25,28,TRUE,03-Well-A6,NA,150.1,5369,282,269,4224,1424434.3,6299837.0,6094318.0,1286341.5,35.76,1.88,1.79,35.13
PAC V01 C,PAC 02,3,A,7,25,28,TRUE,03-Well-A7,NA,150.1,7009,521,542,5619,1003188.1,5656613.0,5417670.5,975064.0,46.70,3.47,3.61,46.75
PAC V02 C,PAC 04,3,A,8,25,28,TRUE,03-Well-A8,NA,150.2,2098,121,114,1608,1030943.3,4327838.5,4525840.5,918544.8,13.97,0.81,0.76,13.37
PAC V02 B,PAC 05,3,A,9,25,28,TRUE,03-Well-A9,NA,150,2410,110,82,1896,1123923.4,3196454.5,3311994.5,1120856.3,16.07,0.73,0.55,15.79
PAC V02 A,PAC 06,3,A,10,25,28,TRUE,03-Well-A10,NA,150,10451,751,688,8261,772389.4,4111417.8,4190574.0,768400.4,69.66,5.01,4.59,68.76
PAC V03 C,PAC 07,3,A,11,25,28,TRUE,03-Well-A11,NA,150,3043,227,241,2372,1070137.3,4972355.0,4695596.0,973394.7,20.28,1.51,1.61,19.74
PAC V03 B,PAC 08,3,A,12,25,28,TRUE,03-Well-A12,NA,150,3128,148,174,2438,1055169.3,4627758.5,4304322.5,1042718.3,20.85,0.99,1.16,20.30
PAC V03 A,PAC 09,3,B,1,25,28,TRUE,03-Well-B1,NA,150,5097,327,332,4266,1311635.5,5231836.5,4938388.0,1293607.6,33.98,2.18,2.21,35.52
PAC V16 C,PAC 10,3,B,2,25,28,TRUE,03-Well-B2,NA,150,11991,1109,1150,9531,1045241.6,5300318.5,5178305.0,1007690.4,79.93,7.39,7.67,79.35
PAC V16 B,PAC 11,3,B,3,25,28,TRUE,03-Well-B3,NA,150.1,4044,324,326,3240,953871.0,4785700.5,4607290.5,948902.3,26.95,2.16,2.17,26.96
PAC V16 A,PAC 12,3,B,4,25,28,TRUE,03-Well-B4,NA,150,4316,342,351,3439,993730.3,4772058.5,4645058.0,1046769.3,28.76,2.28,2.34,28.62
PAC V04 C,PAC 13,3,B,5,25,28,TRUE,03-Well-B5,NA,150.3,2271,137,149,1746,971081.4,4799020.0,4689368.0,930740.6,15.11,0.91,0.99,14.50
PAC V04 B,PAC 14,3,B,6,25,28,TRUE,03-Well-B6,NA,150.3,2942,311,334,2272,1567563.3,5525032.5,5357068.0,1463318.0,19.58,2.07,2.22,18.87
PAC V04 A,PAC 15,3,B,7,25,28,TRUE,03-Well-B7,NA,150.2,2179,76,83,1661,1275884.6,4673555.0,4391055.0,1191683.3,14.51,0.51,0.55,13.81
PAC V05 C,PAC 16,3,B,8,25,28,TRUE,03-Well-B8,NA,150,4788,342,260,3711,891442.3,3226977.5,3430081.8,852492.9,31.92,2.28,1.73,30.90
PAC V05 B,PAC 17,3,B,9,25,28,TRUE,03-Well-B9,NA,150.2,2739,177,188,2129,1572026.4,4712374.5,4422775.5,1528154.9,18.24,1.18,1.25,17.70
PAC V05 A,PAC 18,3,B,10,25,28,TRUE,03-Well-B10,NA,150,6482,310,335,5149,899905.1,4831851.5,4557537.5,896982.1,43.20,2.07,2.23,42.86
PAC V15 B,PAC 20,3,B,12,25,28,TRUE,03-Well-B12,NA,150.1,5435,303,255,4022,973446.1,4042272.0,4063644.8,974121.8,36.21,2.02,1.70,33.47
PAC V15 A,PAC 21,3,C,1,25,28,TRUE,03-Well-C1,NA,150,2655,274,255,2119,1486643.6,4431563.0,4451660.5,1472690.9,17.69,1.83,1.70,17.64
PAC V06 B,PAC 23,3,C,3,25,28,TRUE,03-Well-C3,NA,150,7270,519,486,5856,877947.9,4216917.0,4236371.5,928900.9,48.47,3.46,3.24,48.76
PAC V06 A,PAC 24,3,C,4,25,28,TRUE,03-Well-C4,NA,150,7620,339,293,5984,772267.9,3553019.0,3616412.0,766512.6,50.80,2.26,1.95,49.82
PAC V07 C,PAC 25,3,C,5,25,28,TRUE,03-Well-C5,NA,150,6354,536,498,4969,1019576.8,4718911.5,4837368.0,981808.3,42.35,3.57,3.32,41.36
PAC V07 B,PAC 26,3,C,6,25,28,TRUE,03-Well-C6,NA,150,6482,610,639,5090,1344130.6,5775362.5,5573218.0,1368434.0,43.21,4.07,4.26,42.38
PAC V07 A,PAC 27,3,C,7,25,28,TRUE,03-Well-C7,NA,150,6944,453,407,5721,1156554.1,4423729.0,4476205.0,1162650.3,46.29,3.02,2.71,47.63
PAC V11 B,PAC 29,3,C,9,25,28,TRUE,03-Well-C9,NA,150.2,3623,186,212,2856,1247954.5,4668692.0,4458183.0,1213100.0,24.13,1.24,1.41,23.75
PAC V11 A,PAC 30,3,C,10,25,28,TRUE,03-Well-C10,NA,150,10041,533,455,7711,1086765.8,4368718.5,4476450.5,998136.4,66.93,3.55,3.03,64.20
PAC V12 C,PAC 31,3,C,11,25,28,TRUE,03-Well-C11,NA,150.1,5679,236,285,4262,1077689.1,4676591.0,4346955.5,966987.5,37.84,1.57,1.90,35.46
PAC V12 B,PAC 32,3,C,12,25,28,TRUE,03-Well-C12,NA,150.1,1678,101,78,1261,872508.3,3362420.5,3666774.0,851894.4,11.18,0.67,0.52,10.49
PAC V12 A,PAC 33,3,D,1,25,28,TRUE,03-Well-D1,NA,150,2219,198,160,1746,1066568.6,3165413.5,3460721.8,1005259.1,14.79,1.32,1.07,14.54
PAC V08 C,PAC 34,3,D,2,25,28,TRUE,03-Well-D2,NA,150,5310,246,243,4150,1345988.8,5943475.0,5838594.0,1176119.5,35.39,1.64,1.62,34.55
PAC V08 B,PAC 35,3,D,3,25,28,TRUE,03-Well-D3,NA,150,6701,782,794,5241,1368625.6,5848469.5,5797730.0,1314104.5,44.67,5.21,5.29,43.63
PAC V08 A,PAC 36,3,D,4,25,28,TRUE,03-Well-D4,NA,150,1750,213,229,1343,1566139.4,6133890.5,5751407.0,1564113.5,11.66,1.42,1.53,11.18
PAC V18 C,PAC 37,3,D,5,25,28,TRUE,03-Well-D5,NA,150,2412,142,161,1864,1389956.6,5592855.5,5322204.5,1358739.5,16.08,0.95,1.07,15.51
PAC V18 B,PAC 38,3,D,6,25,28,TRUE,03-Well-D6,NA,150.1,1646,146,173,1198,1800651.6,4993274.0,4748633.0,1747192.5,10.97,0.97,1.15,9.97
PAC V18 A,PAC 39,3,D,7,25,28,TRUE,03-Well-D7,NA,150.1,3851,304,265,3022,1209297.0,4036554.3,4240062.0,1203603.5,25.66,2.03,1.77,25.15
PAC V10 C,PAC 40,3,D,8,25,28,TRUE,03-Well-D8,NA,150,29362,1033,1064,23182,678501.1,5868506.0,5640039.0,664209.6,195.75,6.89,7.09,193.02
PAC V10 B,PAC 41,3,D,9,25,28,TRUE,03-Well-D9,NA,150.1,9457,285,290,7452,846653.8,5538521.0,5271111.0,836897.4,63.00,1.90,1.93,61.99
PAC V10 A,PAC 42,3,D,10,25,28,TRUE,03-Well-D10,NA,150.2,5852,202,212,4518,939870.7,5350018.0,5128787.0,857976.2,38.97,1.35,1.41,37.57
PAC V09 C,PAC 43,3,D,11,25,28,TRUE,03-Well-D11,NA,150,7131,353,384,5388,780896.0,4588393.5,4410466.0,721499.8,47.53,2.35,2.56,44.85
PAC V09 B,PAC 44,3,D,12,25,28,TRUE,03-Well-D12,NA,150,2034,226,238,1594,1340297.9,5309813.5,5215338.5,1273324.9,13.56,1.51,1.59,13.27
PAC V09 A,PAC 45,3,E,1,25,28,TRUE,03-Well-E1,NA,150,2723,366,335,2123,1607839.5,3987410.0,4122621.3,1586426.1,18.15,2.44,2.23,17.67
PAC V19 C,PAC 46,3,E,2,25,28,TRUE,03-Well-E2,NA,150,10182,561,589,7979,780133.8,4670294.0,4524390.5,762608.8,67.88,3.74,3.93,66.43
PAC V19 B,PAC 47,3,E,3,25,28,TRUE,03-Well-E3,NA,150,1859,142,125,1476,1093686.1,4116808.8,4197897.5,1072638.3,12.39,0.95,0.83,12.29
PAC V19 A,PAC 48,3,E,4,25,28,TRUE,03-Well-E4,NA,150,7499,586,594,6108,1382257.9,5031448.5,4841902.0,1355836.1,49.99,3.91,3.96,50.85
PAC V17 C,PAC 49,3,E,5,25,28,TRUE,03-Well-E5,NA,150.1,5185,524,530,4138,1616038.5,6109397.5,5952402.0,1552757.1,34.53,3.49,3.53,34.42
PAC V17 B,PAC 50,3,E,6,25,28,TRUE,03-Well-E6,NA,150.2,2814,163,109,2200,1713521.3,3880465.5,4062457.0,1569253.9,18.74,1.09,0.73,18.29
PAC V17 A,PAC 51,3,E,7,25,28,TRUE,03-Well-E7,NA,150,8100,362,370,6215,997259.4,5079314.5,4880031.5,933403.5,53.98,2.41,2.47,51.73
PAC V20 C,PAC 52,3,E,8,25,28,TRUE,03-Well-E8,NA,150,5057,513,464,3922,1165226.4,4114731.3,4159262.3,1122790.5,33.70,3.42,3.09,32.64
PAC V20 B,PAC 53,3,E,9,25,28,TRUE,03-Well-E9,NA,150,6184,522,454,5029,1485252.1,3943856.3,4049851.0,1410407.6,41.22,3.48,3.03,41.87
PAC V20 A,PAC 54,3,E,10,25,28,TRUE,03-Well-E10,NA,150,2720,318,292,2166,1184039.6,3917259.3,4018211.8,1082912.3,18.13,2.12,1.95,18.03
PAC V14 B,PAC 56,3,E,12,25,28,TRUE,03-Well-E12,NA,150.1,10649,452,459,8575,629654.9,5954456.5,5825402.0,621263.1,70.96,3.01,3.06,71.35
PAC V14 A,PAC 57,3,F,1,25,28,TRUE,03-Well-F1,NA,150,15614,433,438,12193,530158.3,5357122.5,5205082.5,523150.0,104.08,2.89,2.92,101.50
PAC V13 A,PAC 58,3,F,2,25,28,TRUE,03-Well-F2,NA,150.1,5619,359,375,4356,980584.3,5436779.0,5229470.0,970560.3,37.44,2.39,2.50,36.25
PAC V13 B,PAC 59,3,F,3,25,28,TRUE,03-Well-F3,NA,150.1,5330,328,377,4074,807933.3,4827784.5,4576141.5,817967.2,35.50,2.18,2.51,33.88
T0_PR02,PR02,3,F,5,45,28,TRUE,03-Well-F5,NA,150.1,8130,655,634,6385,1144408.9,7044522.0,6926698.5,1134684.8,54.16,4.36,4.22,53.12
T0_PR03,PR03,3,F,6,45,28,TRUE,03-Well-F6,NA,150,3091,85,88,2445,662784.1,7281263.5,6829999.5,645581.3,20.60,0.57,0.59,20.35
T0_PR04,PR04,3,F,7,45,28,TRUE,03-Well-F7,NA,150,11456,530,540,8989,883784.2,7900714.5,7455316.5,852558.4,76.37,3.53,3.60,74.84
T0_PR06,PR06,3,F,8,45,28,TRUE,03-Well-F8,NA,150,18146,595,604,14213,860327.5,7367314.0,6947797.5,867007.8,120.95,3.97,4.03,118.32
T0_PR07,PR07,3,F,9,45,28,TRUE,03-Well-F9,NA,150,28034,1233,1262,21835,781609.5,7165827.0,6808754.0,784590.9,186.88,8.22,8.41,181.79
T0_PR08,PR08,3,F,10,45,28,TRUE,03-Well-F10,NA,150.5,12685,781,824,9886,775967.6,5549570.5,5214652.5,755082.1,84.30,5.19,5.48,81.99
PRU V01 A,PRU 01,3,F,11,45,28,TRUE,03-Well-F11,NA,150.2,21397,756,755,16946,676276.9,5955939.0,5670326.0,657469.5,142.50,5.03,5.03,140.91
PRU V01 C,PRU 02,3,F,12,45,28,TRUE,03-Well-F12,NA,150,42060,933,998,33165,643275.3,6591855.5,6115826.5,624371.1,280.33,6.22,6.65,276.06
PRU V01 B,PRU 03,3,G,1,45,28,TRUE,03-Well-G1,NA,150,18494,495,483,14492,744029.1,7192382.0,6911448.5,737817.7,123.26,3.30,3.22,120.62
PRU V02 C,PRU 04,3,G,2,45,28,TRUE,03-Well-G2,NA,150.1,17735,420,417,13278,631652.4,6526993.5,6254670.5,619785.3,118.16,2.80,2.78,110.48
PRU V02 B,PRU 05,3,G,3,45,28,TRUE,03-Well-G3,NA,150,17061,439,421,13167,554666.3,5696005.0,5480131.0,543828.3,113.70,2.93,2.81,109.59
PRU V02 A,PRU 06,3,G,4,45,28,TRUE,03-Well-G4,NA,150,5160,156,140,3961,669644.8,6180437.0,6319501.5,652772.8,34.40,1.04,0.93,32.98
PRU V03 C,PRU 07,3,G,5,45,28,TRUE,03-Well-G5,NA,150.1,6018,155,159,3395,561012.2,5792237.5,5646865.5,506899.8,40.10,1.03,1.06,28.25
PRU V16 C,PRU 10,3,G,8,45,28,TRUE,03-Well-G8,NA,150.1,11510,427,429,9006,663565.0,6465228.0,6310241.0,647892.0,76.70,2.85,2.86,74.95
PRU V16 B,PRU 11,3,G,9,45,28,TRUE,03-Well-G9,NA,150.1,19193,1101,1122,14937,844504.8,6102306.0,5882254.5,849459.0,127.89,7.34,7.48,124.30
PRU V04 C,PRU 13,3,G,11,45,28,TRUE,03-Well-G11,NA,150,26391,559,593,21203,503285.6,6061490.0,5674724.5,492294.4,175.93,3.73,3.95,176.53
PRU V04 B,PRU 14,3,G,12,45,28,TRUE,03-Well-G12,NA,150,40555,815,837,32187,506756.2,6151550.0,5918852.5,507625.9,270.28,5.43,5.58,267.90
PRU V04 A,PRU 15,3,H,1,45,28,TRUE,03-Well-H1,NA,150,14676,329,338,11152,759610.8,7211966.5,6685863.0,758948.1,97.83,2.19,2.25,92.85
PRU V05 C,PRU 16,3,H,2,45,28,TRUE,03-Well-H2,NA,150,13200,484,482,10421,674462.3,7212409.5,6830643.0,638636.1,87.99,3.23,3.21,86.76
PRU V05 B,PRU 17,3,H,3,45,28,TRUE,03-Well-H3,NA,150.1,8423,358,346,6431,822931.7,7166765.5,6883797.0,773847.6,56.13,2.39,2.31,53.52
PRU V05 A,PRU 18,3,H,4,45,28,TRUE,03-Well-H4,NA,150,4444,278,251,3511,931253.9,7031314.5,6927693.5,942992.1,29.62,1.85,1.67,29.22
PRU V15 C,PRU 19,3,H,5,45,28,TRUE,03-Well-H5,NA,150,16996,814,742,12770,779542.7,7039139.5,6780392.5,770725.5,113.30,5.43,4.95,106.32
PRU V15 B,PRU 20,3,H,6,45,28,TRUE,03-Well-H6,NA,150,34662,1066,1055,25435,614925.7,6372955.5,5976327.0,610271.7,231.06,7.11,7.03,211.76
PRU V15 A,PRU 21,3,H,7,45,28,TRUE,03-Well-H7,NA,150,22285,884,770,17327,628243.1,6973357.5,6785658.0,640454.9,148.55,5.89,5.13,144.25
PRU V06 C,PRU 22,3,H,8,45,28,TRUE,03-Well-H8,NA,150,13448,502,508,10122,601677.3,6356407.0,6054405.5,593203.7,89.62,3.35,3.39,84.24
PRU V06 A,PRU 24,4,A,1,45,28,TRUE,04-Well-A1,NA,150,1225,59,52,965,826500.6,6719308.0,6323808.5,807490.8,8.16,0.39,0.35,8.03
PRU V07 C,PRU 25,4,A,2,45,28,TRUE,04-Well-A2,NA,150,26414,281,272,20906,474636.7,6963979.5,6795396.5,457869.6,176.07,1.87,1.81,174.04
PRU V07 B,PRU 26,4,A,3,45,28,TRUE,04-Well-A3,NA,150,14414,346,365,11453,645088.4,6817349.5,6589275.5,636482.8,96.09,2.31,2.43,95.35
PRU V07 A,PRU 27,4,A,4,45,28,TRUE,04-Well-A4,NA,150.1,15480,329,329,12178,553118.1,6307799.5,6134155.5,526246.2,103.11,2.19,2.19,101.29
PRU V11 C,PRU 28,4,A,5,45,28,TRUE,04-Well-A5,NA,150.1,4967,85,85,3900,620512.3,6003366.5,6063681.0,563200.8,33.10,0.57,0.57,32.46
PRU V11 B,PRU 29,4,A,6,45,28,TRUE,04-Well-A6,NA,150,2049,56,59,1597,800937.3,6159319.0,5791359.0,803902.3,13.66,0.37,0.39,13.30
PRU V11 A,PRU 30,4,A,7,45,28,TRUE,04-Well-A7,NA,150.3,3860,79,81,3043,713701.3,5562508.0,5328535.5,688473.0,25.68,0.53,0.54,25.27
PRU V12 C,PRU 31,4,A,8,45,28,TRUE,04-Well-A8,NA,150.1,744,36,38,572,1323049.3,5207623.0,5076785.5,1192337.1,4.96,0.24,0.25,4.76
PRU V12 B,PRU 32,4,A,9,45,28,TRUE,04-Well-A9,NA,150,2629,76,75,2073,678569.4,6508885.5,6091578.5,692662.5,17.52,0.51,0.50,17.25
PRU V12 A,PRU 33,4,A,10,45,28,TRUE,04-Well-A10,NA,150,1883,94,85,1436,928668.4,6065340.0,6153044.0,880763.0,12.55,0.63,0.57,11.95
PRU V08 C,PRU 34,4,A,11,45,28,TRUE,04-Well-A11,NA,150.1,10667,264,274,8277,752492.7,7559780.0,7184537.5,703082.9,71.08,1.76,1.83,68.88
PRU V08 B,PRU 35,4,A,12,45,28,TRUE,04-Well-A12,NA,150.1,4317,116,119,3257,841955.5,7592792.0,7379990.5,832657.8,28.77,0.77,0.79,27.11
PRU V08 A,PRU 36,4,B,1,45,28,TRUE,04-Well-B1,NA,150,5839,249,251,4572,925340.0,6834741.5,6641860.0,922268.3,38.92,1.66,1.67,38.06
PRU V18 C,PRU 37,4,B,2,45,28,TRUE,04-Well-B2,NA,150,14647,283,287,11477,618371.7,6879833.0,6514594.0,589011.6,97.64,1.89,1.91,95.56
PRU V18 B,PRU 38,4,B,3,45,28,TRUE,04-Well-B3,NA,150,2623,166,161,1919,1362567.3,6372942.0,6409973.5,1303835.5,17.48,1.11,1.07,15.98
PRU V18 A,PRU 39,4,B,4,45,28,TRUE,04-Well-B4,NA,150.1,6063,223,227,4759,683984.0,6043510.0,5772016.5,658992.6,40.39,1.49,1.51,39.58
PRU V10 C,PRU 40,4,B,5,45,28,TRUE,04-Well-B5,NA,150,8468,323,310,6519,776482.2,6339097.5,6294167.0,757248.6,56.45,2.15,2.07,54.27
PRU V10 B,PRU 41,4,B,6,45,28,TRUE,04-Well-B6,NA,150.1,2133,22,24,1654,525394.0,6313898.0,5878856.0,508530.7,14.21,0.15,0.16,13.76
PRU V10 A,PRU 42,4,B,7,45,28,TRUE,04-Well-B7,NA,150,11840,291,303,9349,536311.4,6234592.0,5966555.0,537471.2,78.93,1.94,2.02,77.83
PRU V09 C,PRU 43,4,B,8,45,28,TRUE,04-Well-B8,NA,150,5658,239,217,4419,1474409.6,8184728.0,7599831.5,1414129.5,37.72,1.59,1.45,36.79
PRU V09 B,PRU 44,4,B,9,45,28,TRUE,04-Well-B9,NA,150,3142,102,95,2416,881060.4,8061329.0,7548229.0,872836.2,20.94,0.68,0.63,20.11
PRU V09 A,PRU 45,4,B,10,45,28,TRUE,04-Well-B10,NA,150.8,296,16,17,223,1697971.6,7353663.5,6584227.0,1686819.6,1.96,0.11,0.11,1.84
PRU V19 C,PRU 46,4,B,11,45,28,TRUE,04-Well-B11,NA,150,4556,146,140,3537,661719.1,7093030.0,6692562.0,653897.1,30.37,0.97,0.93,29.45
PRU V19 B,PRU 47,4,B,12,45,28,TRUE,04-Well-B12,NA,150.1,2237,76,68,1794,970658.3,7836278.0,7321827.0,950117.5,14.91,0.51,0.45,14.93
PRU V19 A,PRU 48,4,C,1,45,28,TRUE,04-Well-C1,NA,150.1,3660,179,181,2818,960338.0,7491292.0,7061700.0,930710.1,24.39,1.19,1.21,23.45
PRU V17 C,PRU 49,4,C,2,45,28,TRUE,04-Well-C2,NA,150,24348,2124,2136,18749,1087562.9,6485886.0,6353003.5,1079360.6,162.29,14.16,14.24,156.08
PRU V17 B,PRU 50,4,C,3,45,28,TRUE,04-Well-C3,NA,150.1,21007,1021,1018,16515,791638.8,6102190.0,5958771.0,771998.4,139.99,6.80,6.78,137.45
PRU V17 A,PRU 51,4,C,4,45,28,TRUE,04-Well-C4,NA,150.1,19682,745,732,15407,728222.1,6216339.0,5899400.0,717158.1,131.12,4.96,4.88,128.17
PRU V20 C,PRU 52,4,C,5,45,28,TRUE,04-Well-C5,NA,150.1,23012,844,842,18303,605430.9,7024134.5,6738479.0,603623.5,153.36,5.62,5.61,152.33
PRU V20 B,PRU 53,4,C,6,45,28,TRUE,04-Well-C6,NA,150,13616,467,433,10794,625287.2,7349021.5,7285208.5,610860.4,90.75,3.11,2.89,89.84
PRU V20 A,PRU 54,4,C,7,45,28,TRUE,04-Well-C7,NA,150,11630,574,542,9181,852217.4,7313190.0,7090867.5,844164.1,77.51,3.83,3.61,76.42
PRU V14 C,PRU 55,4,C,8,45,28,TRUE,04-Well-C8,NA,150.2,68,3,3,50,1582144.3,6761825.0,6761825.0,1797345.0,0.45,0.02,0.02,0.42
PRU V14 B,PRU 56,4,C,9,45,28,TRUE,04-Well-C9,NA,150.1,29432,1049,1045,23366,735056.0,6688444.0,6525524.5,708118.8,196.15,6.99,6.96,194.47
PRU V14 A,PRU 57,4,C,10,45,28,TRUE,04-Well-C10,NA,150.1,15309,486,487,11927,835309.1,6762989.0,6672340.0,834405.1,102.02,3.24,3.25,99.26
PRU V13 A,PRU 58,4,C,11,45,28,TRUE,04-Well-C11,NA,150,1238,51,50,933,911749.0,6262338.0,5969950.0,890537.5,8.25,0.34,0.33,7.77
PRU V13 B,PRU 59,4,C,12,45,28,TRUE,04-Well-C12,NA,150.1,21574,1119,1127,15991,773327.1,6309221.0,6087394.5,743706.1,143.75,7.46,7.51,133.06
PRU V13 C,PRU 60,4,D,1,45,28,TRUE,04-Well-D1,NA,150.1,19511,1016,994,15237,1019627.9,7360434.5,7155809.0,1002805.7,130.03,6.77,6.62,126.81
T0_PRUS 064,PRUS 064,4,D,2,45,28,TRUE,04-Well-D2,NA,150,2038,195,196,1586,1318708.4,5557681.0,5404776.0,1285111.1,13.59,1.30,1.31,13.20
T0_PRUS 065,PRUS 065,4,D,3,45,28,TRUE,04-Well-D3,NA,150,4154,263,261,3256,974319.4,7465466.0,7153847.0,958986.0,27.69,1.75,1.74,27.11
T0_PRUS 078,PRUS 078,4,D,4,45,28,TRUE,04-Well-D4,NA,150.1,10577,1162,1170,8158,1338350.4,6402451.0,6238515.5,1297963.4,70.47,7.74,7.80,67.87
T0_PRUS 079,PRUS 079,4,D,5,45,28,TRUE,04-Well-D5,NA,150.1,2170,383,393,1714,2509153.3,6892033.5,6905271.5,2550317.3,14.46,2.55,2.62,14.26
T0_PRUS 080,PRUS 080,4,D,6,45,28,TRUE,04-Well-D6,NA,150,8107,438,439,6307,987458.5,7374823.5,7258025.0,980329.8,54.04,2.92,2.93,52.51
PRU V03 C,PRU 07,4,D,7,45,28,TRUE,04-Well-D7,NA,150,9061,254,261,6947,596000.3,5867607.5,5617462.0,536380.2,60.40,1.69,1.74,57.84
PRU V03 B,PRU 08,4,D,8,45,28,TRUE,04-Well-D8,NA,150.8,354,15,13,268,1446769.4,8803544.0,9678181.0,1666568.6,2.35,0.10,0.09,2.22
PRU V16 A,PRU 12,4,D,9,45,28,TRUE,04-Well-D9,NA,150.1,22040,756,769,16944,882469.1,7455874.0,7112184.0,874082.6,146.88,5.04,5.12,141.02
PRU V06 B,PRU 23,4,D,10,45,28,TRUE,04-Well-D10,NA,150.1,5704,188,198,4366,747100.4,6501867.0,6108031.0,712629.8,38.01,1.25,1.32,36.33
PAC V15 C,PAC 19,4,D,11,25,28,TRUE,04-Well-D11,NA,150,13272,835,788,10197,855387.6,4829668.5,4876535.5,794214.8,88.47,5.57,5.25,84.89
PAC V13 C,PAC 60,4,D,12,25,28,TRUE,04-Well-D12,NA,150,7096,491,454,5383,997153.1,4539242.0,4701306.0,1052548.3,47.30,3.27,3.03,44.81
PAC V06 C,PAC 22,4,E,1,25,28,TRUE,04-Well-E1,NA,150,4015,281,293,3126,988509.9,5426359.5,5299315.5,961644.2,26.76,1.87,1.95,26.02
PAC V14 C,PAC 55,4,E,3,25,28,TRUE,04-Well-E3,NA,150,10304,397,403,8232,705737.5,5891121.5,5786233.0,649730.8,68.69,2.65,2.69,68.53
PAC V15 C,PAC 19,4,E,4,25,28,TRUE,04-Well-E4,NA,150.1,8686,548,523,6907,833187.7,4589004.0,4663331.5,815875.3,57.88,3.65,3.49,57.48
PAC V11 C,PAC 28,5,F,1,25,28,TRUE,05-Well-F1,NA,150,10221,513,532,8077,933546.9,5575358.0,5359907.5,899558.0,68.13,3.42,3.55,67.24
